Agency,Incident Number,Arrest Date,Arrest Location,Arrest Offense by UCR Code,Arrest Type,Age,Sex,Race,Ethnicity
MSP - DFS,2019-0H2-000018,20190101,DEDHAM,90Z,W,25,M,B,U
MSP - DFS,2019-0A1-000026,20190101,METHUEN,90Z,M,26,M,H,DR
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,90D,M,28,M,O,CA
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,MV,M,28,M,O,CA
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,MV,M,28,M,O,CA
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,90D,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0H3-000022,20190101,ATTLEBORO,MV,M,49,M,H,DR
MSP - DFS,2019-0H3-000022,20190101,ATTLEBORO,MV,M,49,M,H,DR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,90,M,18,M,H,PR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,13A-13C,M,18,M,H,PR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,90Z,F,18,M,H,PR
MSP - DFS,2019-0F1-000213,20190102,BOSTON,250,F,23,M,H,DR
MSP - DFS,2019-0B3-000025,20190102,SPRINGFIELD,90Z,W,31,F,H,PR
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,90D,M,34,M,W,BRA
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,MV,M,34,M,W,BRA
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,MV,M,34,M,W,BRA
MSP - DFS,2019-0H7-000022,20190102,BROCKTON,90Z,W,50,M,H,PR
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,26A,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,"510,13C",F,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,90Z,W,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
